Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,68.686432,69.354614,67.991661,68.592636,68.592636,106741099
2019-04-23,68.565010,71.011688,68.071793,69.330948,69.330948,215660125
2019-04-24,69.334450,70.843086,65.075981,67.679436,67.679436,125287159
2019-04-25,67.664513,67.879234,61.282112,61.301388,61.301388,155993710
2019-04-26,61.405888,63.762627,59.985405,62.089672,62.089672,118882977
2019-04-27,61.811203,63.523888,61.609760,62.550404,62.550404,116208417
2019-04-28,62.636745,63.034191,61.037529,61.229954,61.229954,82495647
2019-04-29,61.249252,61.793365,59.778355,60.541924,60.541924,47434963
2019-04-30,60.542370,62.194996,60.226635,62.095947,62.095947,39162919
2019-05-01,62.100006,64.977654,62.089760,64.959656,64.959656,38993596
2019-05-02,64.994217,65.824936,63.340900,64.406868,64.406868,40766958
2019-05-03,64.368805,68.404884,64.170731,67.024811,67.024811,42073269
2019-05-04,67.015800,68.352814,65.228127,67.791672,67.791672,37095216
2019-05-05,67.789284,68.454918,65.342239,66.080147,66.080147,39931451
2019-05-06,66.057526,67.329773,64.362587,66.548279,66.548279,45947644
2019-05-07,66.509819,69.783348,65.540497,65.544525,65.544525,49857410
2019-05-08,65.493263,67.421722,64.757500,67.329552,67.329552,37535065
2019-05-09,67.342529,68.112236,63.669830,64.686600,64.686600,39720827
2019-05-10,64.675056,68.396156,64.316124,68.072891,68.072891,41323063
2019-05-11,68.069183,79.699287,68.041550,77.587059,77.587059,67439109
2019-05-12,77.548401,79.713142,71.928917,74.207863,74.207863,58900217
2019-05-13,74.214813,81.657883,73.524788,79.157272,79.157272,55646569
2019-05-14,79.181168,84.433907,79.029030,83.074654,83.074654,69119265
2019-05-15,83.199928,94.412842,82.949448,94.083717,94.083717,70995399
2019-05-16,93.934860,96.761581,85.035179,87.010948,87.010948,78734549
2019-05-17,87.034523,87.373985,77.611969,82.008835,82.008835,72415160
2019-05-18,82.033607,82.908882,79.338615,79.591866,79.591866,46125352
2019-05-19,79.602333,90.976646,79.453217,90.621643,90.621643,67197704
2019-05-20,90.601730,90.628815,84.803520,87.608360,87.608360,76023557
2019-05-21,87.502594,92.424316,87.469437,89.003471,89.003471,87816699
2019-05-22,88.998756,91.208160,83.389893,83.505188,83.505188,419738195
2019-05-23,83.402954,85.197746,81.007195,84.623131,84.623131,216194224
2019-05-24,84.708580,87.265945,83.789459,85.577827,85.577827,78323421
2019-05-25,85.549881,87.648148,85.549881,86.993294,86.993294,74414764
2019-05-26,86.949112,92.211037,85.577133,91.995186,91.995186,78729256
2019-05-27,92.023392,98.859055,91.952843,97.966019,97.966019,234053891
2019-05-28,97.901421,98.527863,95.658775,96.060982,96.060982,156907569
2019-05-29,96.054405,96.071693,90.578339,93.989113,93.989113,109958292
2019-05-30,94.005638,98.393707,89.849976,91.964775,91.964775,115296005
2019-05-31,91.967300,93.520309,89.461693,93.216705,93.216705,98522713
2019-06-01,93.286453,93.722069,91.546585,92.969177,92.969177,101580439
2019-06-02,93.044395,96.242630,92.807236,94.944893,94.944893,104335299
2019-06-03,94.964233,95.795273,89.459351,89.709602,89.709602,113138588
2019-06-04,89.664238,89.667770,81.329010,83.343590,83.343590,82412018
2019-06-05,83.411987,86.604736,83.391068,84.985680,84.985680,123787030
2019-06-06,85.042648,87.148071,83.569778,86.935844,86.935844,147136612
2019-06-07,86.879044,89.695122,85.487297,88.267052,88.267052,132272877
2019-06-08,88.305496,88.731239,86.324577,87.544029,87.544029,127524206
2019-06-09,87.560944,87.973671,82.453857,83.784119,83.784119,135848271
2019-06-10,83.680046,87.388680,82.686371,86.918793,86.918793,138555223
2019-06-11,86.973465,87.844711,85.493881,86.715004,86.715004,143282901
2019-06-12,86.662491,90.408157,85.956451,90.134514,90.134514,171933824
2019-06-13,90.206352,91.677734,89.158585,89.260742,89.260742,207794231
2019-06-14,89.298271,90.762901,87.333527,90.506554,90.506554,230462155
2019-06-15,90.526665,95.030334,89.966743,94.692764,94.692764,229735779
2019-06-16,94.703003,97.641518,94.356422,95.863197,95.863197,217991870
2019-06-17,95.830208,99.692795,95.820610,98.349022,98.349022,221680908
2019-06-18,98.305428,99.094658,95.684685,96.243507,96.243507,215721562
2019-06-19,96.260368,102.193726,96.175003,100.407219,100.407219,144587434
2019-06-20,100.449440,108.609352,100.209190,104.979973,104.979973,175272178
2019-06-21,105.016724,109.994354,104.960281,109.234108,109.234108,138943736
2019-06-22,109.500732,118.708656,109.165443,114.705856,114.705856,144831867
2019-06-23,114.641815,120.073807,113.839684,115.132637,115.132637,135554014
2019-06-24,115.213257,119.433472,112.313942,117.416252,117.416252,131784908
